Genre,x_value,y_value
rap tico,1109,11696
lovers rock,1182,14301
school ensemble,534,4905
folk rock italiano,720,7748
piano blues,918,4043
zim gospel,657,11113
cante alentejano,625,2031
dutch musical,548,6565
blues,1007,4213
cha-cha-cha,965,5437
dalarna indie,418,11326
canadian blues,732,8934
kolkata indie,674,11697
vancouver metal,245,13211
blues latinoamericano,650,10524
taiwan indie,518,12363
finnish punk,356,11993
manitoba indie,550,10046
sunshine pop,666,7019
fado instrumental,761,4866
musica andina chilena,800,6258
rwandan gospel,670,12066
classic pakistani pop,737,6319
candombe,971,10424
muzica usoara,622,7662
jam band,695,8897
swamp pop,844,8442
dutch r&b,947,13115
pop romantico,631,7377
brazilian rockabilly,545,11388
pop costarricense,1026,12601
pop lgbtq+ brasileira,934,12331
modern bollywood,757,9604
west virginia indie,410,10403
syro-aramaic chant,364,2404
sasscore,273,10354
musica popular paraense,904,11870
turkish singer-songwriter,695,10034
deep downtempo fusion,372,7378
english indie rock,392,15576
jazz puertorriqueno,1033,5757
jazz guitar trio,997,3149
epa dunk,969,18255
macross,416,13649
norwegian alternative rock,299,11113
chinese punk,426,14393
chamame brasilero,908,11077
contemporary gospel,606,9197
assyrian pop,742,14343
polish alternative rap,1033,12393
carnaval,787,16972
psychokore,997,14836
german drill,1111,12878
venda pop,990,11956
zen,145,3548
polish folk metal,225,11968
malawian pop,1046,10412
trival,1192,18183
deep swedish rock,400,13815
tanzanian traditional,820,5680
indonesian folk,609,7427
australian classical piano,510,654
jazz composition,782,5118
swedish rock-and-roll,657,10021
classic bangla pop,640,5517
musica calabrese,766,11968
indie cristao,507,9492
haitian gospel,609,10537
classic turkish pop,564,6321
mambo,1011,5730
wyoming indie,467,11636
chanson quebecois,631,7290
southern gospel,550,7946
dutch classical piano,543,781
chicago bop,975,15927
tollywood,1007,13785
malagasy folk,1003,8651
musica afroperuana,1103,8391
nepali pop,695,10881
deep psychobilly,532,11685
italian post-hardcore,301,10968
worcester ma indie,465,12568
goralski,785,9295
christian trap,999,13465
melanesian pop,990,16415
swedish underground rap,1035,10400
japanese pop rap,992,15103
chinese new year,712,12359
avant-garde black metal,138,11286
rap sardegna,1094,13748
liberian pop,1132,15550
houston rap,1094,15012
mahraganat,1123,17958
malaysian metal,307,13742
cumbia sonorense,1078,9540
deep tech house,1415,20459
hindustani classical,581,3575
musica amapaense,775,11805
tech trance,643,19886
musique ancienne,382,1792
histoire pour enfants,1177,5546
canadian celtic,530,7897
variete francaise,727,13321
north carolina indie,475,8405
czech folk rock,730,9665
musica cabo-verdiana,871,11622
hampton roads indie,446,11150
cimbalom,709,4080
italian metal,161,10980
modern mod,430,14246
musica popular amazonense,863,11534
birmingham hip hop,1050,9802
post-hardcore,309,11150
turkish trap pop,912,14494
oulu indie,380,12387
serbian folk,545,6736
bubblegrunge,400,11311
hololive,512,18409
schlager,752,16613
jangle rock,420,11821
r&b en espanol,1063,14684
indonesian pop rock,486,14418
finnish trap,1081,17065
corrido,1080,9158
musica ayacuchana,1011,7650
sambalpuri pop,785,9208
ensemble stars,428,17930
southern metal,249,13002
denver metal,184,13137
dutch stoner rock,224,10500
fado de coimbra,704,1898
fado antigo,740,2111
utapri,448,18145
chamber choir,129,435
musique mandingue,1013,8724
italian pop punk,316,17731
christian hard rock,271,16521
boston punk,284,11385
progressive thrash,242,13518
gothic metal,220,14720
german pagan metal,163,15521
italian folk metal,227,15792
doomgaze,99,11360
death 'n' roll,186,11438
australian black metal,48,10919
water,41,4707
