genre,x_value,y_value,font_size,color_hex,color_R,color_G,color_B,cluster,cluster_color
adult standards,713,3989,119,#588e25,88,142,37,adult standards,#588e25
trecento,254,520,100,#19af3f,25,175,63,adult standards,#588e25
bebop,925,3109,104,#56916d,86,145,109,adult standards,#588e25
romanian classical piano,552,149,100,#22a6d8,34,166,216,adult standards,#588e25
kentucky mountain folk,907,2283,100,#4f9a37,79,154,55,adult standards,#588e25
georgian polyphony,194,309,100,#31a526,49,165,38,adult standards,#588e25
flamenco,901,4203,102,#708d33,112,141,51,adult standards,#588e25
nursery,935,7284,102,#38a978,56,169,120,adult standards,#588e25
trouvere,583,2576,100,#2a9621,42,150,33,adult standards,#588e25
ainu folk,945,8372,100,#6d913c,109,145,60,adult standards,#588e25
throat singing,469,5684,100,#629040,98,144,64,adult standards,#588e25
latin soundtrack,313,5536,101,#459cac,69,156,172,adult standards,#588e25
renaissance,267,753,101,#21a555,33,165,85,adult standards,#588e25
nordic ambient,261,6750,100,#5294cb,82,148,203,adult standards,#588e25
bernu dziesmas,907,10455,100,#729a25,114,154,37,adult standards,#588e25
bhutanese pop,830,8066,100,#659c48,101,156,72,adult standards,#588e25
swedish experimental,234,6945,100,#637bb1,99,123,177,adult standards,#588e25
marimba,826,1589,100,#28b1c0,40,177,192,adult standards,#588e25
french worship,527,7450,101,#6e9612,110,150,18,adult standards,#588e25
irish pub song,802,5698,101,#668f0c,102,143,12,adult standards,#588e25
french jazz,983,3563,101,#589093,88,144,147,adult standards,#588e25
siberian folk,521,6253,100,#6d8c2e,109,140,46,adult standards,#588e25
early american folk,751,3803,100,#45a344,69,163,68,adult standards,#588e25
faroese jazz,672,5803,100,#5f9280,95,146,128,adult standards,#588e25
american primitive,598,4564,100,#59a2bf,89,162,191,adult standards,#588e25
show tunes,530,4923,107,#599320,89,147,32,adult standards,#588e25
avant-garde,386,1456,101,#27957f,39,149,127,adult standards,#588e25
bells,306,1883,100,#4e81cb,78,129,203,adult standards,#588e25
nordic soundtrack,281,6443,101,#419cbe,65,156,190,adult standards,#588e25
indian lo-fi,817,10951,101,#729a60,114,154,96,adult standards,#588e25
schrammelmusik,817,2603,100,#459e51,69,158,81,adult standards,#588e25
cello,378,6230,101,#569a8b,86,154,139,adult standards,#588e25
thai instrumental,708,5190,100,#53a65e,83,166,94,adult standards,#588e25
modern performance,365,2222,100,#2d9374,45,147,116,adult standards,#588e25
calypso,826,4246,101,#5d8f0d,93,143,13,adult standards,#588e25
german literature,1367,5670,100,#437300,67,115,0,adult standards,#588e25
convent,174,484,100,#1ab65c,26,182,92,adult standards,#588e25
lesen,1355,5803,101,#418000,65,128,0,adult standards,#588e25
hard bop,879,3497,103,#5b9154,91,145,84,adult standards,#588e25
guitarra portuguesa,845,4096,100,#67a38b,103,163,139,adult standards,#588e25
jazz trio,909,2990,102,#4f98ac,79,152,172,adult standards,#588e25
swiss classical piano,428,110,100,#19a5d4,25,165,212,adult standards,#588e25
baroque cello,336,1346,100,#1ca77d,28,167,125,adult standards,#588e25
orthodox chant,166,430,100,#2ba13c,43,161,60,adult standards,#588e25
pet calming,390,2629,103,#22a8cc,34,168,204,adult standards,#588e25
erotica,826,10097,100,#4da3c2,77,163,194,adult standards,#588e25
sound art,342,6511,100,#5679ab,86,121,171,adult standards,#588e25
mallet,876,4564,100,#549f8f,84,159,143,adult standards,#588e25
vintage french psychedelic,585,6635,100,#6f8f61,111,143,97,adult standards,#588e25
classical horn,388,1218,100,#1fa7b9,31,167,185,adult standards,#588e25
balalaika,713,3829,100,#629185,98,145,133,adult standards,#588e25
video game music,285,9015,107,#5b93c6,91,147,198,adult standards,#588e25
jaw harp,782,4484,100,#637f81,99,127,129,adult standards,#588e25
nu age,190,4363,101,#4096cd,64,150,205,adult standards,#588e25
barnmusik,1099,7219,102,#5e8d1e,94,141,30,adult standards,#588e25
czech contemporary classical,373,1322,100,#239f79,35,159,121,adult standards,#588e25
torch song,765,2229,104,#41960d,65,150,13,adult standards,#588e25
dutch folk,758,5899,100,#589d23,88,157,35,adult standards,#588e25
ghibli,450,4736,102,#3ca3ae,60,163,174,adult standards,#588e25
traditional british folk,872,4043,100,#479f13,71,159,19,adult standards,#588e25
vintage italian pop,659,1936,100,#489826,72,152,38,adult standards,#588e25
operetta,534,1136,101,#379154,55,145,84,adult standards,#588e25
italian contemporary classical,398,924,100,#1a9a78,26,154,120,adult standards,#588e25
pibroch,164,3696,100,#40a393,64,163,147,adult standards,#588e25
celtic,600,5887,103,#659824,101,152,36,adult standards,#588e25
middle earth,309,7559,102,#5e9191,94,145,145,adult standards,#588e25
tongan pop,881,8925,100,#6b982e,107,152,46,adult standards,#588e25
blasmusik,784,3083,100,#5c94a9,92,148,169,adult standards,#588e25
jazz violin,828,3871,100,#5b9268,91,146,104,adult standards,#588e25
modern electroacoustic,268,5910,100,#5988a4,89,136,164,adult standards,#588e25
irish folk,676,5270,102,#5e9818,94,152,24,adult standards,#588e25
medieval,313,1170,100,#1fa931,31,169,49,adult standards,#588e25
