Column1;energy;valence;spotify_id;name;artists;duration
498;0.646;0.639;3cC17ZyEHU4ljycyCaWbbr;Understand;Omah Lay;174545.0
503;0.865;0.491;6PojTTCNlz3qo3qBKuUyaO;Holy Father;Mayorkun,Victony;184000.0
510;0.574;0.538;33dN3Nd9aRz4nzha4oIGnX;Godly;Omah Lay;175215.0
601;0.669;0.693;5laAdwuT8EEvkIXrmrhRSB;System (feat. WizKid);Dave,WizKid;181550.0
602;0.881;0.453;5fNuSX2WFLQgJ4X5b5qexN;Southy Love;Peruzzi,Fireboy DML;210000.0
603;0.71;0.784;1JvW2HjzFdEcaFrpsEeq0e;Ojuju;Troniq Music,Oxlade;187300.0
641;0.655;0.926;0pPaHAsyHLYt45J42IXKuG;Angela;Kuami Eugene;187286.0
643;0.553;0.664;3ddd0nUY2jZtPYzg0r0wTb;Pana;Tekno;242893.0
645;0.872;0.96;0RTKzoAF6R3YoHrdBjmmtJ;Shake Body;Skales;208874.0
656;0.842;0.875;7pG2mohladBSpE6CqxFik5;Johnny;Yemi Alade;236013.0
675;0.625;0.37;12VWzyPDBCc8fqeWCAfNwR;One Dance;Drake,WizKid,Kyla;173987.0
812;0.828;0.147;2EoOZnxNgtmZaD8uUmz2nD;Black Hole Sun;Soundgarden;318587.0
831;0.752;0.897;0fsz7tJ7UKXT9hliLfO7aE;The Distance;CAKE;179600.0
859;0.867;0.281;087OBLtoeS3Q6j0k6tMNAI;Closing Time;Semisonic;273533.0
885;0.427;0.354;0815caqt2Lytro5EIzMufT;You And Me;Lifehouse;195493.0
898;0.793;0.437;66s45uMhk7Y4z0xUgESdm3;Unwell - 2007 Remaster;Matchbox Twenty;237267.0
902;0.854;0.869;3tTDOodJcr6vKF2DASlwMZ;That's Not Me;Skepta,Jme;185968.0
917;0.547;0.423;3vsNteZn6E5qBSSBO78W7b;You're Beautiful;James Blunt;213000.0
1270;0.485;0.614;3mMduiD8yb4IaS5tZKqSZy;Motorbike;Leon Bridges;188617.0
1363;0.761;0.789;3io8SywLvvaJDxTU94phL7;Bringing It Back;Digga D,AJ Tracey;190938.0
1779;0.906;0.584;4n5f6vydWvNsCcQH6p1Bmw;前前前世 - movie ver.;RADWIMPS;284240.0
1841;0.964;0.345;46otlpQFL4eQA99CserOcP;FLY HIGH!!;BURNOUT SYNDROMES;246000.0
1847;0.932;0.539;04LCCxG3pbOYeENiyUc7Xb;Black Rover;Vickeblanka;208300.0
1886;0.934;0.384;3vWRsBKvOpj8iITRh8ERlZ;シルエット;KANA-BOON;240133.0
1889;0.939;0.564;6drUY5MlA6NpZcpotC7aQP;ポラリス;BLUE ENCOUNT;224360.0
1934;0.917;0.619;6eF5LeVfS3p1pykPj7cN79;Der größte Träumer (Digimon Tamers);Anime Allstars;229000.0
1964;0.849;0.779;5CmXvb3uawIB3HEKr5zHQb;Leb deinen Traum (Digimon);Anime Allstars;94867.0
1972;0.941;0.419;6H57ETYLp2lVcwhKbQpq1h;Seven Deadly Sins;MAN WITH A MISSION;205840.0
1973;0.988;0.277;0hH1rqG4hGWbCT3zLcHdYp;crossing field;LiSA;249853.0
1980;0.889;0.333;0GLyqTysS0DFoeKjURtB8s;unravel;TK from Ling tosite sigure;238360.0
2056;0.975;0.109;5y27AyPlRI5GS8OrcD3dGz;Freezing Moon;Mayhem;383053.0
2076;0.862;0.0626;2FAyTv8mns4tw0xIIukzeT;Bergtatt-Ind I Fjeldkamrene;Ulver;486480.0
2078;0.96;0.122;1m69yRnNyPY3sbEFdj1MR5;Funeral Fog;Mayhem;347253.0
2088;0.998;0.035;4PpNELexhMm1KcSZJEopFn;In the Shadow of the Horns;Darkthrone;417307.0
2093;0.994;0.0358;5tXdsbPCOEZqnuOA0uTNsK;Myr;Taake;333893.0
2097;0.912;0.0626;5JQJFtmq1NxX1hTFfLg4TT;Inno A Satana;Emperor;288733.0
2101;0.966;0.0546;2T9eyVOaWU2dukr4CNj8uV;I Am Abomination;1349;248871.0
2131;0.954;0.398;7um8GR22TlrPIPrLULzmOx;K.I.N.G;Satyricon;216347.0
2228;0.999;0.0217;2fXlaMD3V7X5KzAC2WfH4Z;Transilvanian Hunger;Darkthrone;370413.0
2235;0.98;0.0504;1FLfUPKZDEyqVq1CkhJrlV;Begravelsesnatt;Gorgoroth;153240.0
2248;0.586;0.721;3jkNk0HJ8Vtd6RCf4aZtki;A Forest;Carpathian Forest;357573.0
2250;0.738;0.276;0h2KyPkIISeMMkA2X0eXU5;Quintessence;Darkthrone;456907.0
2271;0.939;0.0383;4rYrYgdw8nO9fX9vYvcH72;All Shall Fall;Immortal;358013.0
2276;0.953;0.439;62PTQgNhHMs66qv1DEBTi4;Profetens Åpenbaring;Gorgoroth;266627.0
2317;0.771;0.246;7IikbYJuxnILUaytiJ6KXY;Tyrants;Immortal;376907.0
2320;0.974;0.0943;4AP3a7eEOlz5sTJiWnv2C6;Freezing Moon;Mayhem;383053.0
2323;0.828;0.279;0GoyU0X4nwqUigVwBPSDen;Chainsaw Gutsfuck;Mayhem;212760.0
2331;0.859;0.0673;54gobTrNsykhJzLP2hL1ju;Bergtatt-Ind I Fjeldkamrene;Ulver;486480.0
2343;0.881;0.14;4faSHbkYnJ6Boe6Wf20CQh;Alt Lys Er Svunnet Hen;Dimmu Borgir;367893.0
2346;0.993;0.0352;3xVfnZDhLogW1qluw3YHgg;Profetens Åpenbaring;Gorgoroth;320333.0
2595;0.227;0.543;5S83skAVYFuvGXKBBEBJdn;Sometimes it Does;Front Country;119461.0
2683;0.557;0.592;4KyPPjKoZVlMihGk94Fc1G;99 Problems;Hugo;137427.0
2766;0.406;0.772;0yOFuMZLW6xvns77bwTomm;Help Me;Sonny Boy Williamson II;187253.0
2825;0.436;0.771;5bC6ONDsL88snGN6QasjZH;Help Me;Sonny Boy Williamson II;188200.0
2835;0.358;0.9;5Lh4aGwVSl2bBR4W5mBr9V;I Loved Another Woman;Fleetwood Mac;175107.0
2850;0.281;0.397;6kucNn22HB0qb2ZPa1BrNl;Cold, Cold Feeling;Albert Collins;318840.0
3177;0.519;0.353;2SbRdZjPSsLouQpSu176UV;Api Asmara;Rafika Duri;203693.0
3188;0.676;0.701;5A20sGaIPIXHT8ylhWwmpp;Kucoba Lagi;Rien Djamain;267173.0
3200;0.315;0.239;0tiEuBrH4iwEpQQmjnJcSe;Kau Yang Kusayang;Rafika Duri;208293.0
3765;0.87;0.83;5LBikzSkad9yQ6RH87Gdrm;Rain;Aitch,AJ Tracey,Tay Keith;183066.0
3770;0.578;0.377;2tC6dm3WkOKYcgS2nZybmg;18HUNNA (feat. Dave);Headie One,Dave;189322.0
3780;0.571;0.757;0qSSfVh97cz3Wqp6NB9Y4d;Day in the Life;Central Cee;188690.0
3820;0.68;0.694;4D0GT8zWuA7Z2em6dpajAn;Loading;Central Cee;173333.0
3844;0.571;0.757;6DgMffCX9ftTdDEZgZLVSd;Day in the Life;Central Cee;188690.0
3849;0.71;0.795;0UCKUJU94sx8XBQnaNsRkB;Commitment Issues;Central Cee;150664.0
3854;0.578;0.523;5EflbExBvQcP93uuLaUFUV;Faded;B1;194676.0
3877;0.445;0.591;34gCuhDGsG4bRPIf9bb02f;Thinking out Loud;Ed Sheeran;281560.0
3907;0.615;0.812;5uzNa0SBGOe5pPnstWHMCt;Come On Eileen;Dexys Midnight Runners;273720.0
4030;0.659;0.461;0ff3R5QzMVizvtukgsGvj2;Take That Risk;CB;190003.0
4038;0.591;0.438;62ImlYiiE0ZeK9NVftkDfq;No Diet;Digga D;192387.0
4088;0.429;0.197;0thQu8y1Nb4fkO8ApGLE4j;夜機;Priscilla Chan;270373.0
4159;0.409;0.139;63814i2D2TAG7C0HFj9rw5;我的感覺;Leon Lai;278173.0
4161;0.319;0.145;0VXNRrUuK5StkxaXKKG6qk;今生不再;Leon Lai;285187.0
4169;0.506;0.126;50YtZ6sbtNBoyjASIgjoI3;我的感覺;Leon Lai;272520.0
4172;0.455;0.51;4yJW3Xa0ktZ1ZpDJ2IsEC0;愛情影畫戲;Leon Lai;264667.0
4228;0.427;0.23;18FzrRJg9wk1IDlwHQcVeE;等;Danny Chan,Bryan Choy Hin Lok,Chen Chi Hong;230467.0
4234;0.251;0.289;6ZJzvJ2euRJhem7R4gaUG3;相思河畔;Danny Chan;188840.0
4243;0.297;0.156;6UR2iziyuTWfzsd55O5nvp;雨夜的浪漫;Alan Tam;256053.0
4245;0.301;0.314;6fVWHrJHnTh4PPFMNbr3BE;愛在深秋;Alan Tam;243120.0
4246;0.263;0.245;1f21KuRuH3BqQQYfBssMmQ;愛的根源 - 電影《君子好逑》主題曲;Alan Tam;237507.0
4248;0.388;0.279;574aaomewnEPNa9tdRRTH9;半夢半醒;Alan Tam;228293.0
4252;0.241;0.156;7iM2AwvicnmkCte1nzIlfe;一生中最愛;Alan Tam;263747.0
4273;0.358;0.389;7sn9g7BeE0fbb5qYbEhXAU;等你等到我心痛;Jacky Cheung;254160.0
4303;0.38;0.3;5MrkWAY8M3AlwDh1H3maol;霧之戀;Alan Tam;265733.0
4317;0.495;0.475;2hLBXWw033oLlkWUdX98Zm;光輝歲月;Beyond;302733.0
4357;0.506;0.201;1fGOpOBqihN9mncH5erndU;夏日傾情;Leon Lai;250293.0
4377;0.138;0.0775;5S2tkNBuhdgyn3ztYuOKL2;大會堂演奏廳;Hacken Lee;293640.0
4379;0.404;0.266;0WSMw6Y6ovrNMqvKyQ0A5r;唯獨你是不可取替;Andy Hui;251413.0
4380;0.209;0.231;66cBlqEs1viJJCE74CDfGB;追;Leslie Cheung;323760.0
4384;0.514;0.139;6bZxiol0nxTfofgGJDtY6g;祝君好;Chilam;255000.0
4390;0.565;0.955;1O1DIgewmYbTrLORq430ED;舊歡如夢;Hacken Lee;159067.0
4391;0.268;0.316;0I1bQXS2ktUPw1ANBw6vOX;一生不變;Hacken Lee;262373.0
4394;0.528;0.37;4HzlDMavG16KuUAX7LoVrb;我不會唱歌;Hacken Lee;202600.0
4396;0.827;0.749;70NTN85LdxAtRy8Xk9gAWC;愛情陷阱;Alan Tam;231400.0
4397;0.452;0.346;3x84xRaXhYMP8ftrL9oNkM;小風波;Alan Tam;219667.0
4398;0.297;0.237;7jFNX9aTdcQfhIgUVE02hi;月半小夜曲;Hacken Lee;290973.0
4403;0.38;0.192;1eMujWp9h2cSEPIiO6xOhN;有心人;Leslie Cheung;268280.0
4404;0.217;0.186;63ThoHdxN0lcHVPsHc4a8o;一生中最愛;Alan Tam;262640.0
4441;0.636;0.198;6mn3MOnUpXYEIi5qTRqAik;愛的呼喚;Aaron Kwok,Beta Soul;233373.0
4448;0.156;0.258;0ZiqWUOgWVZoBJRTM2NcQ7;繾綣星光下;Shirley Kwan;179493.0
4449;0.376;0.391;3xN2b7ZMGfcKbJuFsuuF5r;等你等到我心痛;Jacky Cheung;256827.0
4451;0.355;0.123;414hSSHPDvPL7oCDavRFRP;一切也願意;Shirley Kwan;235720.0
4454;0.431;0.414;606wvF2jK9MrZrwoWVSVnx;難得有情人;Shirley Kwan;224040.0
4461;0.358;0.19;6vm9hk35YBDhdJ14x29glO;夜機;Priscilla Chan;271867.0
4463;0.395;0.183;4UhOWTYYu9bjLn3QYTX0Kr;紅茶館;Priscilla Chan;250373.0
4474;0.335;0.322;4eItvfEhxjcDX3vuBTcVcs;月半彎;Jacky Cheung;230027.0
4526;0.579;0.88;6wvbW1K8M59d1SD4c9x0Vh;The Mambo Craze;De-Phazz;203653.0
4536;0.479;0.137;56VyL11X4JR5ZaYlayQuDY;深深深;Hacken Lee;231213.0
4549;0.919;0.929;5KIHadde9VqCGTJUJP0Puh;Git On Up;Fast Eddie;296129.0
4623;0.475;0.515;3gxmrusCLU1QlQ0oizRnNi;"一起走過的日子(電影""至尊無上II之永霸天下"" 歌曲)";Andy Lau;234667.0
4931;0.445;0.152;26A3jTn1PCR6mdAwIYEo9h;情人;Beyond;317000.0
4995;0.347;0.659;0rkzM1FJh4xWCTF1NwDGYN;Better Together;Jack Johnson;207680.0
5010;0.643;0.212;7jqzZyJJLrpkRFYGpkqSK6;Breathe Me;Sia;272800.0
5016;0.256;0.102;5aIsJv8xeH5221JjlrPR1L;Skinny Love;Bon Iver;238520.0
5049;0.928;0.64;76a4ysdw8amPmOpl4WPY81;夢伴;Anita Mui;197000.0
5052;0.862;0.727;2hShqBiniJrZcpeSvdKTph;壞女孩;Anita Mui;291000.0
5113;0.572;0.463;6JSqXK9q7U1NIXVkUGunpk;Monica;Leslie Cheung;235773.0
5320;0.568;0.678;0OKMUpT5jHO3g5MePDoDXr;Mellow Mood;Bunny Wailer;231733.0
5553;0.321;0.225;05e9EtS74HIzVKV1Nl4n2s;求妳講清楚;David Lui;243120.0
5575;0.342;0.182;1iv6pDhDMwOpVvtpjWRRcM;無言感激;Alan Tam;307253.0
5747;0.0846;0.0586;3C8r1FYzrq7vglVA3ObbAJ;Suite No. 3 in D, BWV 1068: 2. Air;Johann Sebastian Bach,David Bell,Berliner Philharmoniker,Herbert von Karajan;363253.0
5776;0.0497;0.0937;5PYkhnP4NZQqJqw3xruLym;"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59";Ludwig van Beethoven,Lang Lang;206373.0
6694;0.501;0.324;63OQupATfueTdZMWTxW03A;Karma Police;Radiohead;264067.0
6711;0.691;0.535;0lGav1fK5Yv0N9dWhUpmKJ;Some Things Never Change;Flatland Cavalry;200673.0
6731;0.683;0.397;45Ue0F8p2OaC94Jdyoeg6u;Things A Man Oughta Know;Lainey Wilson;203373.0
6857;0.869;0.781;2uBTCVYWO2jWoUd5DVNgb7;Work All Day;Matthew Koziol;257360.0
6884;0.848;0.207;6LgJvl0Xdtc73RJ1mmpotq;Paranoid Android;Radiohead;387213.0
6888;0.844;0.543;1IOsvFqEJKFs91LQp4xEgj;God Gave Me You;Blake Shelton;229533.0
7036;0.711;0.291;5OJbBrGPY4scEGwMysuyLb;Sicko Drop;KVSH,Schillist;147976.0
7344;0.678;0.499;0Ng68zezg2IpkGAKw7bRpw;Go Go Wine;Vybz Kartel;203511.0
7356;0.71;0.408;6Py2oR9vHDDiAiBvezZuta;Give It All To Me;Mavado,Nicki Minaj;214227.0
7369;0.791;0.815;7xDCVsKvHGerLqHeBwBvsA;No Games;Serani;189707.0
7396;0.845;0.358;0ZKycriGkcOk1llMVWIAVA;Summer Time;Vybz Kartel;164360.0
